estimator,W,d_min,pairing,robust,n_segments,bias_deg,std_deg,rmse_deg,final_err_deg,t_converge_s
sliding,5,0.3,latest,0,5,1.2185458953915504,14.22814123822681,14.28022609044079,1.7814821687561335,103.68996572494507
sliding,5,0.5,latest,0,5,0.16537775195573576,11.57504327777228,11.57622462995355,-3.128095565196152,nan
sliding,5,1.0,latest,0,5,-0.15982711130948918,1.3409432482732522,1.3504345599099412,-0.8264541365477499,78.24995541572571
sliding,5,2.0,latest,0,5,-1.260478617669691,0.46211582360240544,1.3425190427052511,-0.7647568742211833,41.449753522872925
sliding,10,0.3,latest,0,10,0.5008425907708645,7.6859192461780195,7.702220326600623,0.5620791325670128,103.68996572494507
sliding,10,0.5,latest,0,10,-0.5114508665476274,4.6040846398383435,4.632405137689027,-3.801279513971898,nan
sliding,10,1.0,latest,0,10,0.16406923914214155,0.6697019823580375,0.6895066790154873,-0.9081415878001399,60.6699914932251
sliding,10,2.0,latest,0,10,0.079247257535792,0.4595028887824064,0.4662864276668588,-0.3752438928233477,41.449753522872925
sliding,20,0.3,latest,0,20,0.1761760918750173,4.077235401951217,4.081039884425619,0.04842311328985185,99.5199966430664
sliding,20,0.5,latest,0,20,-0.5787734321948371,2.24794549583995,2.321257770710033,-2.705849109329845,nan
sliding,20,1.0,latest,0,20,0.7165101156042942,0.6037203993426521,0.9369445374971404,-0.14725106256264148,60.6699914932251
sliding,20,2.0,latest,0,12,0.44118974561588037,0.10398051062980518,0.45327733037009504,0.39339908921476857,41.449753522872925
sliding,50,0.3,latest,0,50,0.21806056553953354,1.5988987230681218,1.613699952553848,0.022294320869633948,93.54002571105957
sliding,50,0.5,latest,0,50,-2.2364907126600335,1.5995367208959237,2.7496196881221717,-4.099942085789483,nan
sliding,50,1.0,latest,0,30,1.3283984499769494,0.5565824626233502,1.4402869434946062,0.48302227476080206,78.24995541572571
sliding,50,2.0,latest,0,12,0.44118974561588037,0.10398051062980518,0.45327733037009504,0.39339908921476857,41.449753522872925
sliding,100,0.3,latest,0,100,0.8348580684856599,1.3149925652263534,1.5576242939541591,-0.566030923821182,99.5199966430664
sliding,100,0.5,latest,0,64,-1.80164957731471,0.7681046323029884,1.9585519971661673,-2.6158334373410024,nan
sliding,100,1.0,latest,0,30,1.3283984499769494,0.5565824626233502,1.4402869434946062,0.48302227476080206,78.24995541572571
sliding,100,2.0,latest,0,12,0.44118974561588037,0.10398051062980518,0.45327733037009504,0.39339908921476857,41.449753522872925
sliding,200,0.3,latest,0,109,0.7234495911568105,0.9682869065157909,1.2087013048205402,0.10726659437610167,79.91002202033997
sliding,200,0.5,latest,0,64,-1.80164957731471,0.7681046323029884,1.9585519971661673,-2.6158334373410024,nan
sliding,200,1.0,latest,0,30,1.3283984499769494,0.5565824626233502,1.4402869434946062,0.48302227476080206,78.24995541572571
sliding,200,2.0,latest,0,12,0.44118974561588037,0.10398051062980518,0.45327733037009504,0.39339908921476857,41.449753522872925
batch,-1,0.5,latest,0,64,-1.80164957731471,0.7681046323029884,1.9585519971661673,-2.6158334373410024,nan
sliding,50,0.5,latest,0,50,-2.2364907126600335,1.5995367208959237,2.7496196881221717,-4.099942085789483,nan
sliding,50,0.5,interp,0,50,-1.232826309686912,0.9213444132639768,1.5390699261921117,-2.468147220667927,nan
sliding,50,0.5,latest,0,50,-2.2364907126600335,1.5995367208959237,2.7496196881221717,-4.099942085789483,nan
sliding,50,0.5,latest,1,50,-0.11182742095083924,0.65996214227537,0.6693694057194516,-1.441383230342599,26.169943809509277
